code,lon,lat
AF,67.709953,33.93911
AO,17.873887,-11.202692
AL,20.168331,41.153332
FI,25.748151,61.92410999999999
AD,1.521801,42.506285
AE,53.847818,23.424076
AR,-63.61667199999999,-38.416097
AM,45.038189,40.069099
AU,133.775136,-25.274398
AT,14.550072,47.516231
AZ,47.576927,40.143105
BE,4.469936,50.503887
BI,29.918886,-3.373056
BJ,2.315834,9.30769
BF,-1.561593,12.238333
BD,90.356331,23.684994
BG,25.48583,42.733883
BA,17.679076,43.915886
BH,50.5577,26.0667
BS,-77.39627999999999,25.03428
BY,27.953389,53.709807
BZ,-88.49765,17.189877
BO,-63.58865299999999,-16.290154
BR,-51.92528,-14.235004
BB,-59.543198,13.193887
BN,114.727669,4.535277
BT,90.433601,27.514162
BW,24.684866,-22.328474
CF,20.939444,6.611110999999999
CA,-106.346771,56.130366
CH,8.227511999999999,46.818188
CN,104.195397,35.86166
CL,-71.542969,-35.675147
CI,-5.547079999999999,7.539988999999999
CM,12.354722,7.369721999999999
CD,21.758664,-4.038333
CG,15.827659,-0.228021
CO,-74.297333,4.570868
KM,43.3333,-11.6455
CR,-83.753428,9.748916999999999
CU,-77.781167,21.521757
NL,5.291265999999999,52.132633
CY,33.429859,35.126413
CY,33.429859,35.126413
CZ,15.472962,49.81749199999999
DE,10.451526,51.165691
DJ,42.590275,11.825138
DM,-61.37097600000001,15.414999
DK,9.501785,56.26392
DO,-70.162651,18.735693
DZ,1.659626,28.033886
EC,-78.18340599999999,-1.831239
EG,30.802498,26.820553
GB,-3.435973,55.378051
ER,39.782334,15.179384
ES,-3.74922,40.46366700000001
EE,25.013607,58.595272
ET,40.489673,9.145000000000001
FR,2.213749,46.227638
GA,11.609444,-0.803689
IL,34.851612,31.046051
US,-82.9000751,32.1656221
GH,-1.023194,7.946527
GN,-9.696645,9.945587
GM,-15.310139,13.443182
GW,-15.180413,11.803749
GQ,10.267895,1.650801
GR,21.824312,39.074208
GD,-61.67899999999999,12.1165
GT,-90.23075899999999,15.783471
GY,-58.93018,4.860416
HN,-86.241905,15.199999
HR,15.2,45.1
HT,-72.285215,18.971187
HU,19.503304,47.162494
ID,113.921327,-0.789275
IN,78.96288,20.593684
IQ,43.679291,33.223191
IE,-8.24389,53.41291
IR,53.688046,32.427908
IS,-19.020835,64.963051
IT,12.56738,41.87194
JM,-77.297508,18.109581
JO,36.238414,30.585164
JP,138.252924,36.204824
KZ,66.923684,48.019573
null,76.57617139999999,33.778175
KE,37.906193,-0.023559
KG,74.766098,41.20438
KH,104.990963,12.565679
KR,127.766922,35.907757
KP,127.510093,40.339852
XK,20.8893362,42.5813722
KW,47.481766,29.31166
LA,102.495496,19.85627
LB,35.862285,33.854721
LR,-9.429499000000002,6.428055
LY,17.228331,26.3351
LC,-60.978893,13.909444
LI,9.555373,47.166
LK,80.77179699999999,7.873053999999999
LS,28.233608,-29.609988
LT,23.881275,55.169438
LU,6.129582999999999,49.815273
LV,24.603189,56.879635
MA,-7.092619999999999,31.791702
MC,7.424615799999999,43.73841760000001
MD,28.369885,47.411631
MG,46.869107,-18.766947
MX,-102.552784,23.634501
MK,21.745275,41.608635
ML,-3.996166,17.570692
MM,95.956223,21.913965
ME,19.37439,42.708678
MN,103.846656,46.862496
MZ,35.529562,-18.665695
MR,-10.940835,21.00789
MW,34.301525,-13.254308
MY,101.975766,4.210484
NA,18.49041,-22.95764
NE,8.081666,17.607789
NG,8.675277,9.081999
NI,-85.207229,12.865416
NO,8.468945999999999,60.47202399999999
NP,84.12400799999999,28.394857
NZ,174.885971,-40.900557
OM,55.923255,21.512583
PK,69.34511599999999,30.375321
PA,-80.782127,8.537981
PE,-75.015152,-9.189967
PH,121.774017,12.879721
PG,143.95555,-6.314992999999999
PL,19.145136,51.919438
US,-95.712891,37.09024
PT,-8.224454,39.39987199999999
PY,-58.443832,-23.442503
QA,51.183884,25.354826
RO,24.96676,45.943161
RU,105.318756,61.52401
RW,29.873888,-1.940278
EH,-12.885834,24.215527
SA,45.079162,23.885942
SD,30.217636,12.862807
SS,30.1589303,7.9630921
SN,-14.452362,14.497401
SG,103.819836,1.352083
SB,160.156194,-9.64571
SL,-11.779889,8.460555
SV,-88.89653,13.794185
SM,12.457777,43.94236
null,46.8252838,9.411743399999999
SO,46.199616,5.152149
RS,21.005859,44.016521
ST,6.613080999999999,0.18636
SR,-56.027783,3.919305
SK,19.699024,48.669026
SI,14.995463,46.151241
SE,18.643501,60.12816100000001
SZ,31.465866,-26.522503
SY,38.996815,34.80207499999999
TD,18.732207,15.454166
TG,0.824782,8.619543
TH,100.992541,15.870032
TJ,71.276093,38.861034
TM,59.556278,38.969719
TL,125.727539,-8.874217
TT,-61.222503,10.691803
TN,9.537499,33.886917
TR,35.243322,38.963745
TW,120.960515,23.69781
TZ,34.888822,-6.369028
UG,32.290275,1.373333
UA,31.16558,48.379433
UY,-55.765835,-32.522779
UZ,64.585262,41.377491
VA,12.453389,41.902916
VC,-61.19709599999999,13.2528179
VE,-66.58973,6.42375
VN,108.277199,14.058324
VU,166.959158,-15.376706
YE,48.516388,15.552727
ZA,22.937506,-30.559482
ZM,27.849332,-13.133897
ZW,29.154857,-19.015438
null,15.2551187,54.5259614
null,115.66283,-2.2179704
CM,13.914399,3.950512799999999
null,-55.491477,-8.783195
null,34.508523,-8.783195